model,n_rows,selection_type,strategy,n_cores,median_wall_time_sec,median_energy_joules
RandomForest,1000,time_optimal,joblib,8,34.2981006000191,920.5197619997592
RandomForest,10000,time_optimal,joblib,8,314.09369350003544,8754.953805999377
RandomForest,48842,time_optimal,joblib,8,1736.5053782000032,42921.39286000074
XGBoost,1000,time_optimal,serial,1,0.2163835000246763,7.703255997469627
XGBoost,10000,time_optimal,serial,8,2.1879432999994606,52.20152799902955
XGBoost,48842,time_optimal,threading,4,10.418450299999677,231.2414469995084
RandomForest,1000,energy_optimal,joblib,8,34.2981006000191,920.5197619997592
RandomForest,10000,energy_optimal,joblib,8,314.09369350003544,8754.953805999377
RandomForest,48842,energy_optimal,joblib,8,1736.5053782000032,42921.39286000074
XGBoost,1000,energy_optimal,serial,2,0.2320661999983713,6.277835001382293
XGBoost,10000,energy_optimal,serial,2,2.245922000030987,51.89950499921992
XGBoost,48842,energy_optimal,threading,2,10.537842199992156,228.877320999743
RandomForest,1000,balanced,joblib,8,34.2981006000191,920.5197619997592
RandomForest,10000,balanced,joblib,8,314.09369350003544,8754.953805999377
RandomForest,48842,balanced,joblib,8,1736.5053782000032,42921.39286000074
XGBoost,1000,balanced,serial,2,0.2320661999983713,6.277835001382293
XGBoost,10000,balanced,serial,8,2.1879432999994606,52.20152799902955
XGBoost,48842,balanced,joblib,1,10.449651100003392,230.2851600019196
