model,feature_count,n_rows,background_size,strategy,n_cores,mean_elapsed_seconds,mean_energy_joules
LogisticRegression,15,100,25,joblib,1,3.917767899984028,88.51564899927666
LogisticRegression,15,100,50,serial,1,4.9700889000087045,119.24332200057842
LogisticRegression,15,100,100,joblib,1,6.342183400003705,143.8599180000444
LogisticRegression,30,100,25,joblib,1,5.344804399996065,117.43263299959229
LogisticRegression,30,100,50,joblib,1,6.42239649995463,147.4005300015291
LogisticRegression,30,100,100,multiprocessing,4,9.093158399977256,203.35174600045747
SVM-RBF,15,100,25,threading,8,18.177766800043173,622.7671439995851
SVM-RBF,15,100,50,joblib,8,30.245680399995763,1098.7475629997336
SVM-RBF,15,100,100,joblib,8,56.92727169999853,1872.3736769990924
SVM-RBF,30,100,25,ray,8,20.819253299967382,748.3245120000696
SVM-RBF,30,100,50,threading,8,36.71932640002342,1210.024715997282
SVM-RBF,30,100,100,threading,8,66.85756900004344,2198.2923610022435
