strategy,model,feature_count,n_rows,background_size,n_cores,runs,additivity_passes,max_additivity_error,additivity_pass_rate
joblib,LogisticRegression,15,100,25,1,3,3,2.7755575615628914e-16,100.0
joblib,LogisticRegression,15,100,25,2,3,3,3.3993375055137837e-16,100.0
joblib,LogisticRegression,15,100,25,4,3,3,3.469446951953614e-16,100.0
joblib,LogisticRegression,15,100,25,8,3,3,3.703634621210483e-16,100.0
joblib,LogisticRegression,15,100,50,1,3,3,5.551115123125784e-16,100.0
joblib,LogisticRegression,15,100,50,2,3,3,4.440892098500626e-16,100.0
joblib,LogisticRegression,15,100,50,4,3,3,4.440892098500626e-16,100.0
joblib,LogisticRegression,15,100,50,8,3,3,4.440892098500626e-16,100.0
joblib,LogisticRegression,15,100,100,1,3,3,4.440892098500626e-16,100.0
joblib,LogisticRegression,15,100,100,2,3,3,4.440892098500626e-16,100.0
joblib,LogisticRegression,15,100,100,4,3,3,4.440892098500626e-16,100.0
joblib,LogisticRegression,15,100,100,8,3,3,4.440892098500626e-16,100.0
joblib,LogisticRegression,30,100,25,1,3,3,4.440892098500626e-16,100.0
joblib,LogisticRegression,30,100,25,2,3,3,4.440892098500626e-16,100.0
joblib,LogisticRegression,30,100,25,4,3,3,4.440892098500626e-16,100.0
joblib,LogisticRegression,30,100,25,8,3,3,4.440892098500626e-16,100.0
joblib,LogisticRegression,30,100,50,1,3,3,4.996003610813204e-16,100.0
joblib,LogisticRegression,30,100,50,2,3,3,4.440892098500626e-16,100.0
joblib,LogisticRegression,30,100,50,4,3,3,4.996003610813204e-16,100.0
joblib,LogisticRegression,30,100,50,8,3,3,4.440892098500626e-16,100.0
joblib,LogisticRegression,30,100,100,1,3,3,4.440892098500626e-16,100.0
joblib,LogisticRegression,30,100,100,2,3,3,3.6526940597626095e-16,100.0
joblib,LogisticRegression,30,100,100,4,3,3,4.440892098500626e-16,100.0
joblib,LogisticRegression,30,100,100,8,3,3,3.3509978646095733e-16,100.0
joblib,SVM-RBF,15,100,25,1,3,3,3.841328297116142e-16,100.0
joblib,SVM-RBF,15,100,25,2,3,3,3.5952144039619327e-16,100.0
joblib,SVM-RBF,15,100,25,4,3,3,3.677613769070831e-16,100.0
joblib,SVM-RBF,15,100,25,8,3,3,3.677613769070831e-16,100.0
joblib,SVM-RBF,15,100,50,1,3,3,3.8836121818430774e-16,100.0
joblib,SVM-RBF,15,100,50,2,3,3,4.0939474033052647e-16,100.0
joblib,SVM-RBF,15,100,50,4,3,3,4.475586568020162e-16,100.0
joblib,SVM-RBF,15,100,50,8,3,3,4.614364446098307e-16,100.0
joblib,SVM-RBF,15,100,100,1,3,3,4.996003610813204e-16,100.0
joblib,SVM-RBF,15,100,100,2,3,3,5.711577044653637e-16,100.0
joblib,SVM-RBF,15,100,100,4,3,3,5.898059818321144e-16,100.0
joblib,SVM-RBF,15,100,100,8,3,3,5.28656979303932e-16,100.0
joblib,SVM-RBF,30,100,25,1,3,3,3.8857805861880484e-16,100.0
joblib,SVM-RBF,30,100,25,2,3,3,3.87642934245036e-16,100.0
joblib,SVM-RBF,30,100,25,4,3,3,4.478839174537619e-16,100.0
joblib,SVM-RBF,30,100,25,8,3,3,4.570996359198887e-16,100.0
joblib,SVM-RBF,30,100,50,1,3,3,2.766206317825204e-16,100.0
