strategy,model,feature_count,n_cores,n_rows,background_size,repeat_idx,mean_elapsed_seconds,std_elapsed_seconds,mean_energy_joules,std_energy_joules,runs,mean_elapsed_minutes,mean_energy_kwh,energy_delay_product
joblib,LogisticRegression,15,1,100,25,2,3.917767899984028,0.0,88.51564899927666,0.0,1,0.06529613166640047,2.458768027757685e-05,346.7837682956195
serial,LogisticRegression,15,1,100,25,2,3.922560299979523,0.0,95.06913999934864,0.0,1,0.06537600499965872,2.640809444426351e-05,372.91443431464023
threading,LogisticRegression,15,1,100,25,2,3.994711700011976,0.0,90.02077299921085,0.0,1,0.06657852833353294,2.500577027755857e-05,359.60703514406976
joblib,LogisticRegression,15,4,100,25,0,4.872722000000067,0.0,165.29839699919793,0.0,1,0.08121203333333445,4.591622138866609e-05,805.4531356227368
serial,LogisticRegression,15,1,100,50,1,4.9700889000087045,0.0,119.24332200057842,0.0,1,0.08283481500014507,3.312314500016067e-05,592.6499110752385
joblib,LogisticRegression,15,1,100,50,1,4.983429300016724,0.0,114.08294400211405,0.0,1,0.08305715500027873,3.16897066672539e-05,568.5242857723023
joblib,LogisticRegression,15,1,100,50,2,5.0050260000280105,0.0,111.27380200099957,0.0,1,0.08341710000046684,3.09093894447221e-05,556.9282721369717
serial,LogisticRegression,15,1,100,50,2,5.055504700052552,0.0,116.71640300148223,0.0,1,0.08425841166754253,3.2421223055967285e-05,590.0603239472213
threading,LogisticRegression,15,1,100,50,1,5.075826199958101,0.0,116.56262900069936,0.0,1,0.08459710333263501,3.237850805574982e-05,591.6516462177458
threading,LogisticRegression,15,1,100,50,2,5.098005799984094,0.0,113.1619100003478,0.0,1,0.08496676333306823,3.14338638889855e-05,576.9000735190511
multiprocessing,LogisticRegression,15,4,100,25,0,5.230239500000607,0.0,168.57388499817438,0.0,1,0.08717065833334345,4.682607916615955e-05,881.6817919860114
threading,LogisticRegression,15,2,100,25,2,5.270737399987411,0.0,118.86073100014772,0.0,1,0.08784562333312351,3.3016869722263253e-05,626.4837002723217
joblib,LogisticRegression,30,1,100,25,2,5.344804399996065,0.0,117.43263299959229,0.0,1,0.08908007333326774,3.262017583322008e-05,627.6544535593439
multiprocessing,LogisticRegression,15,2,100,25,2,5.34984959999565,0.0,131.32972599956273,0.0,1,0.08916415999992751,3.648047944432298e-05,702.594282106299
serial,LogisticRegression,30,1,100,25,2,5.416900000011083,0.0,120.6467159981406,0.0,1,0.09028166666685138,3.351297666615017e-05,653.531195891665
threading,LogisticRegression,30,1,100,25,2,5.448473199969158,0.0,118.18292299892175,0.0,1,0.09080788666615262,3.282858972192271e-05,643.9164886536438
multiprocessing,LogisticRegression,30,4,100,25,0,5.621542900044005,0.0,182.54378800190847,0.0,1,0.09369238166740008,5.0706607778307905e-05,1026.1777353892667
joblib,LogisticRegression,15,2,100,25,0,5.622837400005665,0.0,153.81445999943372,0.0,1,0.09371395666676108,4.272623888873159e-05,864.8736983464912
joblib,LogisticRegression,15,4,100,50,0,5.717384500021581,0.0,181.3191409975906,0.0,1,0.09528974166702635,5.036642805488628e-05,1036.6712462968521
multiprocessing,LogisticRegression,15,2,100,25,0,5.752745100005996,0.0,144.78714599965025,0.0,1,0.09587908500009994,4.0218651666569516e-05,832.9235446933408
