model,feature_count,n_rows,background_size,strategy,n_cores,mean_elapsed_seconds,mean_energy_joules
LogisticRegression,15,100,25,joblib,1,6.022432700032368,86.9151139999913
LogisticRegression,15,100,50,joblib,1,5.0050260000280105,111.27380200099957
LogisticRegression,15,100,100,joblib,1,6.381446100014728,140.85987600161997
LogisticRegression,30,100,25,joblib,1,5.344804399996065,117.43263299959229
LogisticRegression,30,100,50,joblib,1,6.578970499977004,141.77223099802185
LogisticRegression,30,100,100,joblib,1,9.23787449998781,198.6138310006269
SVM-RBF,15,100,25,threading,4,21.7780065999832,482.5212209970231
SVM-RBF,15,100,50,threading,4,37.80562290002126,907.1796540005728
SVM-RBF,15,100,100,threading,8,66.90219160000561,1650.0546339991429
SVM-RBF,30,100,25,threading,4,24.847939600003883,589.8703959983376
SVM-RBF,30,100,50,ray,4,46.00982500001555,1086.3101249990016
SVM-RBF,30,100,100,ray,4,83.7933583999984,2008.6567649976016
