strategy,model,feature_count,n_rows,background_size,n_cores,mean_elapsed_seconds,std_elapsed_seconds,mean_energy_joules,std_energy_joules,repeats,time_cv_percent,energy_cv_percent
threading,LogisticRegression,30,100,100,2,22.18649653333705,19.494188165409383,351.65783199974095,187.6906247938551,3,87.86510360532927,53.37308250083092
threading,LogisticRegression,15,100,100,2,17.05304326666131,14.97551086342034,279.6949736678018,162.44171388027618,3,87.81723372916936,58.078166993880565
joblib,LogisticRegression,15,100,100,1,12.29313030000776,10.273358645100766,204.76147800020104,108.09311724925162,3,83.56991583416537,52.78977193607945
serial,LogisticRegression,15,100,100,1,12.27457896664661,10.187470582722518,201.54536866905937,94.55409553006571,3,82.99649715403407,46.9145464142741
threading,LogisticRegression,15,100,25,4,19.159805233318668,15.889455436307383,317.16318666794035,138.05918603276444,3,82.93119498248245,43.52938545081147
multiprocessing,SVM-RBF,15,100,25,1,94.92733383333932,78.24398948295847,1521.8070460014605,691.0619003808167,3,82.42514176193842,45.410612481824025
joblib,LogisticRegression,30,100,100,1,17.54502869998881,14.396656670464138,277.2220370012346,134.8925664887523,3,82.0554751812593,48.6586737287958
threading,LogisticRegression,15,100,100,1,12.417223966661064,10.161352032936296,205.406400000388,107.76989241949485,3,81.83271929554024,52.46666726026613
joblib,SVM-RBF,15,100,25,1,91.15773803331346,74.31191995649175,1401.605219333426,696.564496261127,3,81.52014470711698,49.69762431338537
threading,LogisticRegression,30,100,100,1,17.56170543333671,14.264720108712863,281.55621766723374,133.87884867145704,3,81.2262804592696,47.54959765430791
ray,LogisticRegression,30,100,100,1,28.734749366684508,23.2482776275898,464.0581769988439,225.4562863295755,3,80.90649175643827,48.58362539534287
threading,LogisticRegression,15,100,25,8,19.949024099992435,16.061569156227172,334.7633560007002,134.6260226362445,3,80.51305705843156,40.21528050279282
ray,SVM-RBF,15,100,25,2,71.42960166665337,57.1990879377968,1118.9809983335365,535.4860133220365,3,80.0775681274728,47.85479057459591
threading,LogisticRegression,30,100,25,4,22.354665599996224,17.881216984494415,365.84119733222565,160.7670496468425,3,79.98874733557828,43.94449034695446
multiprocessing,LogisticRegression,15,100,25,2,10.306520300005408,8.238750943482456,175.83811166644037,65.78135920409495,3,79.93726984148213,37.41018291238263
ray,SVM-RBF,30,100,25,2,71.01887316666155,56.44331869127327,1166.8748080000637,498.55788767310327,3,79.47650557453439,42.725910633686084
threading,LogisticRegression,30,100,100,4,24.525086299981922,19.111062476573213,396.73361633389413,176.3721455852321,3,77.92454730969611,44.45606278969713
