model,feature_count,n_rows,background_size,strategy,n_cores,median_elapsed_seconds,median_energy_joules,mean_elapsed_seconds,mean_energy_joules,std_elapsed_seconds,std_energy_joules,repeats,median_elapsed_minutes,energy_per_second,time_energy_product,normalized_time,normalized_energy,balanced_score,selection_type,selection_reason
LogisticRegression,15,100,25,joblib,1,6.022432700032368,88.51564899927666,8.367929266688103,122.26982066667614,5.978555723631564,59.85539429756882,3,0.1003738783338728,14.697656812138543,533.0795389978312,0.02535145719931545,0.0,0.012675728599657725,balanced,Best normalized time-energy trade-off
LogisticRegression,15,100,50,joblib,1,5.0050260000280105,114.08294400211405,6.051062433359523,124.5405753343587,1.8305233902293432,20.593891139087777,3,0.0834171000004668,22.793676596580237,570.9881008903204,0.0,0.0,0.0,balanced,Best normalized time-energy trade-off
LogisticRegression,15,100,100,joblib,1,6.381446100014728,143.8599180000444,12.29313030000776,204.76147800020104,10.273358645100766,108.09311724925162,3,0.1063574350002454,22.54346675430078,918.0343126698218,0.0,0.00017611937460206448,8.805968730103224e-05,balanced,Best normalized time-energy trade-off
LogisticRegression,30,100,25,serial,1,8.270380500005558,122.8680250016892,11.51385836668002,169.8664703336281,8.213914993036383,83.33480673675828,3,0.1378396750000926,14.85639324594638,1016.1653180481658,0.11966871954135767,0.0,0.05983435977067884,balanced,Best normalized time-energy trade-off
LogisticRegression,30,100,50,joblib,1,6.578970499977004,147.4005300015291,8.159826333304713,162.78161966650634,2.8747858491773264,31.64047443420897,3,0.10964950833295,22.40480178502766,969.7437385610352,0.0,0.0,0.0,balanced,Best normalized time-energy trade-off
LogisticRegression,30,100,100,joblib,1,9.23787449998781,200.0719990019717,17.54502869998881,277.2220370012346,14.396656670464138,134.8925664887523,3,0.1539645749997968,21.657795741026327,1848.240017741901,0.004942198582791884,0.0,0.002471099291395942,balanced,Best normalized time-energy trade-off
SVM-RBF,15,100,25,threading,4,23.00582019996364,615.159967002144,38.10716656665318,658.4872539994848,27.226539035242595,201.1602082491827,3,0.3834303366660607,26.73931907905271,14152.25959506689,0.0,0.0,0.0,balanced,Best normalized time-energy trade-off
SVM-RBF,15,100,50,multiprocessing,8,36.582000599999446,991.4146459992336,36.6268587000086,1007.3096139990558,5.715046287813725,30.708203121673264,3,0.6097000099999907,27.101159852893574,36267.93117479221,0.0,0.06506621816278359,0.032533109081391794,balanced,Best normalized time-energy trade-off
SVM-RBF,15,100,100,threading,8,66.90219160000561,1706.446721998578,66.81173076664952,1755.086636666281,7.42793018948618,136.0379010800251,3,1.11503652666676,25.50658926393728,114165.02555035036,0.0,0.0,0.0,balanced,Best normalized time-energy trade-off
SVM-RBF,30,100,25,threading,8,26.18189559999155,683.6657269988056,25.607192733325064,682.6354150003002,3.25881923786058,11.881743749196431,3,0.4363649266665258,26.11215541624214,17899.66468957505,0.0,0.0,0.0,balanced,Best normalized time-energy trade-off
SVM-RBF,30,100,50,ray,4,46.00982500001555,1093.05295000095,47.80386459998166,1228.5437476666857,3.4913019151647684,240.54003130331984,3,0.7668304166669259,23.756946478291983,50291.17494529446,0.0,0.0,0.0,balanced,Best normalized time-energy trade-off
SVM-RBF,30,100,100,threading,8,89.62045599997509,2111.7677190030104,82.7643735333307,2138.407158668173,13.819331879241712,51.96719128307622,3,1.4936742666662517,23.563456528313104,189257.58594307705,0.0022486020186774404,0.01735400195386368,0.00980130198627056,balanced,Best normalized time-energy trade-off
