model,feature_count,n_rows,background_size,selection_type,strategy,n_cores,median_elapsed_seconds,median_energy_joules
LogisticRegression,15,100,25,balanced,joblib,1,6.022432700032368,88.51564899927666
LogisticRegression,15,100,25,energy_optimal,joblib,1,6.022432700032368,88.51564899927666
LogisticRegression,15,100,25,time_optimal,multiprocessing,2,5.752745100005996,144.78714599965025
LogisticRegression,15,100,50,balanced,joblib,1,5.0050260000280105,114.08294400211405
LogisticRegression,15,100,50,energy_optimal,joblib,1,5.0050260000280105,114.08294400211405
LogisticRegression,15,100,50,time_optimal,joblib,1,5.0050260000280105,114.08294400211405
LogisticRegression,15,100,100,balanced,joblib,1,6.381446100014728,143.8599180000444
LogisticRegression,15,100,100,energy_optimal,threading,1,6.590943899995182,143.82790199969352
LogisticRegression,15,100,100,time_optimal,joblib,1,6.381446100014728,143.8599180000444
LogisticRegression,30,100,25,balanced,serial,1,8.270380500005558,122.8680250016892
LogisticRegression,30,100,25,energy_optimal,serial,1,8.270380500005558,122.8680250016892
LogisticRegression,30,100,25,time_optimal,multiprocessing,2,6.814578299992718,169.41650399753678
LogisticRegression,30,100,50,balanced,joblib,1,6.578970499977004,147.4005300015291
LogisticRegression,30,100,50,energy_optimal,joblib,1,6.578970499977004,147.4005300015291
LogisticRegression,30,100,50,time_optimal,joblib,1,6.578970499977004,147.4005300015291
LogisticRegression,30,100,100,balanced,joblib,1,9.23787449998781,200.0719990019717
LogisticRegression,30,100,100,energy_optimal,joblib,1,9.23787449998781,200.0719990019717
LogisticRegression,30,100,100,time_optimal,joblib,4,9.20353509997949,202.4784090017384
SVM-RBF,15,100,25,balanced,threading,4,23.00582019996364,615.159967002144
SVM-RBF,15,100,25,energy_optimal,threading,4,23.00582019996364,615.159967002144
SVM-RBF,15,100,25,time_optimal,threading,4,23.00582019996364,615.159967002144
SVM-RBF,15,100,50,balanced,multiprocessing,8,36.582000599999446,991.4146459992336
SVM-RBF,15,100,50,energy_optimal,threading,4,41.55760880000889,918.725559001099
SVM-RBF,15,100,50,time_optimal,multiprocessing,8,36.582000599999446,991.4146459992336
SVM-RBF,15,100,100,balanced,threading,8,66.90219160000561,1706.446721998578
SVM-RBF,15,100,100,energy_optimal,threading,8,66.90219160000561,1706.446721998578
SVM-RBF,15,100,100,time_optimal,threading,8,66.90219160000561,1706.446721998578
SVM-RBF,30,100,25,balanced,threading,8,26.18189559999155,683.6657269988056
SVM-RBF,30,100,25,energy_optimal,threading,8,26.18189559999155,683.6657269988056
SVM-RBF,30,100,25,time_optimal,threading,8,26.18189559999155,683.6657269988056
SVM-RBF,30,100,50,balanced,ray,4,46.00982500001555,1093.05295000095
SVM-RBF,30,100,50,energy_optimal,ray,4,46.00982500001555,1093.05295000095
SVM-RBF,30,100,50,time_optimal,ray,4,46.00982500001555,1093.05295000095
SVM-RBF,30,100,100,balanced,threading,8,89.62045599997509,2111.7677190030104
SVM-RBF,30,100,100,energy_optimal,ray,4,93.28018520004116,2061.276673998824
SVM-RBF,30,100,100,time_optimal,multiprocessing,8,89.34615699999267,2209.7004639997863
