model,feature_count,n_rows,background_size,strategy,n_cores,median_elapsed_seconds,median_energy_joules,mean_elapsed_seconds,mean_energy_joules,std_elapsed_seconds,std_energy_joules,repeats,median_elapsed_minutes,energy_per_second,time_energy_product,selection_type,selection_reason
LogisticRegression,15,100,25,multiprocessing,2,5.752745100005996,144.78714599965025,10.306520300005408,175.83811166644037,8.238750943482456,65.78135920409495,3,0.0958790850000999,25.168357624519004,832.9235446933408,time_optimal,Minimum median execution time
LogisticRegression,15,100,50,joblib,1,5.0050260000280105,114.08294400211405,6.051062433359523,124.5405753343587,1.8305233902293432,20.593891139087777,3,0.0834171000004668,22.793676596580237,570.9881008903204,time_optimal,Minimum median execution time
LogisticRegression,15,100,100,joblib,1,6.381446100014728,143.8599180000444,12.29313030000776,204.76147800020104,10.273358645100766,108.09311724925162,3,0.1063574350002454,22.54346675430078,918.0343126698218,time_optimal,Minimum median execution time
LogisticRegression,30,100,25,multiprocessing,2,6.814578299992718,169.41650399753678,12.226878133330803,204.45594966489045,9.4461644630761,79.41970648264885,3,0.1135763049998786,24.860893299548383,1154.5020318022437,time_optimal,Minimum median execution time
LogisticRegression,30,100,50,joblib,1,6.578970499977004,147.4005300015291,8.159826333304713,162.78161966650634,2.8747858491773264,31.64047443420897,3,0.10964950833295,22.40480178502766,969.7437385610352,time_optimal,Minimum median execution time
LogisticRegression,30,100,100,joblib,4,9.20353509997949,202.4784090017384,13.174088833349137,227.09264900059316,6.919190597330917,44.2315450507371,3,0.1533922516663248,22.00006919104265,1863.5171442355029,time_optimal,Minimum median execution time
SVM-RBF,15,100,25,threading,4,23.00582019996364,615.159967002144,38.10716656665318,658.4872539994848,27.226539035242595,201.1602082491827,3,0.3834303366660607,26.73931907905271,14152.25959506689,time_optimal,Minimum median execution time
SVM-RBF,15,100,50,multiprocessing,8,36.582000599999446,991.4146459992336,36.6268587000086,1007.3096139990558,5.715046287813725,30.708203121673264,3,0.6097000099999907,27.101159852893574,36267.93117479221,time_optimal,Minimum median execution time
SVM-RBF,15,100,100,threading,8,66.90219160000561,1706.446721998578,66.81173076664952,1755.086636666281,7.42793018948618,136.0379010800251,3,1.11503652666676,25.50658926393728,114165.02555035036,time_optimal,Minimum median execution time
SVM-RBF,30,100,25,threading,8,26.18189559999155,683.6657269988056,25.607192733325064,682.6354150003002,3.25881923786058,11.881743749196431,3,0.4363649266665258,26.11215541624214,17899.66468957505,time_optimal,Minimum median execution time
SVM-RBF,30,100,50,ray,4,46.00982500001555,1093.05295000095,47.80386459998166,1228.5437476666857,3.4913019151647684,240.54003130331984,3,0.7668304166669259,23.756946478291983,50291.17494529446,time_optimal,Minimum median execution time
SVM-RBF,30,100,100,multiprocessing,8,89.34615699999267,2209.7004639997863,85.4832107333156,2303.020117332117,6.877809822316696,166.22045834354495,3,1.4891026166665446,24.731902727500277,197428.2445794816,time_optimal,Minimum median execution time
