strategy,model,feature_count,n_cores,n_rows,background_size,repeat_idx,mean_elapsed_seconds,std_elapsed_seconds,mean_energy_joules,std_energy_joules,runs,mean_elapsed_minutes,mean_energy_kwh,energy_delay_product
joblib,LogisticRegression,15,1,100,25,2,3.917767899984028,0.0,88.51564899927666,0.0,1,0.06529613166640047,2.458768027757685e-05,346.7837682956195
threading,LogisticRegression,15,1,100,25,2,3.994711700011976,0.0,90.02077299921085,0.0,1,0.06657852833353294,2.500577027755857e-05,359.60703514406976
serial,LogisticRegression,15,1,100,25,2,3.922560299979523,0.0,95.06913999934864,0.0,1,0.06537600499965872,2.640809444426351e-05,372.91443431464023
joblib,LogisticRegression,15,1,100,25,0,6.022432700032368,0.0,86.9151139999913,0.0,1,0.1003738783338728,2.4143087222219806e-05,523.4404246805888
joblib,LogisticRegression,15,1,100,50,2,5.0050260000280105,0.0,111.27380200099957,0.0,1,0.08341710000046684,3.09093894447221e-05,556.9282721369717
joblib,LogisticRegression,15,1,100,50,1,4.983429300016724,0.0,114.08294400211405,0.0,1,0.08305715500027873,3.16897066672539e-05,568.5242857723023
threading,LogisticRegression,15,1,100,50,2,5.098005799984094,0.0,113.1619100003478,0.0,1,0.08496676333306823,3.14338638889855e-05,576.9000735190511
serial,LogisticRegression,15,1,100,25,0,6.3327923999750055,0.0,92.7710839999478,0.0,1,0.10554653999958342,2.5769745555541058e-05,587.5000156923123
serial,LogisticRegression,15,1,100,50,2,5.055504700052552,0.0,116.71640300148223,0.0,1,0.08425841166754253,3.2421223055967285e-05,590.0603239472213
threading,LogisticRegression,15,1,100,50,1,5.075826199958101,0.0,116.56262900069936,0.0,1,0.08459710333263501,3.237850805574982e-05,591.6516462177458
serial,LogisticRegression,15,1,100,50,1,4.9700889000087045,0.0,119.24332200057842,0.0,1,0.08283481500014507,3.312314500016067e-05,592.6499110752385
threading,LogisticRegression,15,1,100,25,0,6.377760600007605,0.0,94.82574599997476,0.0,1,0.10629601000012674,2.634048499999299e-05,604.7759067049677
threading,LogisticRegression,15,2,100,25,2,5.270737399987411,0.0,118.86073100014772,0.0,1,0.08784562333312351,3.3016869722263253e-05,626.4837002723217
joblib,LogisticRegression,30,1,100,25,2,5.344804399996065,0.0,117.43263299959229,0.0,1,0.08908007333326774,3.262017583322008e-05,627.6544535593439
threading,LogisticRegression,30,1,100,25,2,5.448473199969158,0.0,118.18292299892175,0.0,1,0.09080788666615262,3.282858972192271e-05,643.9164886536438
serial,LogisticRegression,30,1,100,25,2,5.416900000011083,0.0,120.6467159981406,0.0,1,0.09028166666685138,3.351297666615017e-05,653.531195891665
multiprocessing,LogisticRegression,15,2,100,25,2,5.34984959999565,0.0,131.32972599956273,0.0,1,0.08916415999992751,3.648047944432298e-05,702.594282106299
joblib,LogisticRegression,15,4,100,25,0,4.872722000000067,0.0,165.29839699919793,0.0,1,0.08121203333333445,4.591622138866609e-05,805.4531356227368
joblib,LogisticRegression,15,2,100,50,1,5.956821399973705,0.0,135.65084900177823,0.0,1,0.09928035666622842,3.7680791389382844e-05,808.0478802583943
joblib,LogisticRegression,15,2,100,50,2,5.91166429995792,0.0,137.0440649986482,0.0,1,0.098527738332632,3.806779583295783e-05,810.1585065736213
multiprocessing,LogisticRegression,15,2,100,25,0,5.752745100005996,0.0,144.78714599965025,0.0,1,0.09587908500009994,4.0218651666569516e-05,832.9235446933408
threading,LogisticRegression,15,2,100,50,2,6.067581399984192,0.0,137.92375399919175,0.0,1,0.1011263566664032,3.831215388866437e-05,836.8636043814912
multiprocessing,LogisticRegression,15,2,100,50,1,6.0488777999999,0.0,142.5632669999233,0.0,1,0.10081462999999834,3.960090749997869e-05,862.3477808512944
joblib,LogisticRegression,15,2,100,25,2,6.088092899997719,0.0,141.88389400021651,0.0,1,0.10146821499996198,3.941219277783792e-05,863.802327686747
joblib,LogisticRegression,15,2,100,25,0,5.622837400005665,0.0,153.81445999943372,0.0,1,0.09371395666676108,4.272623888873159e-05,864.8736983464912
multiprocessing,LogisticRegression,15,4,100,25,0,5.230239500000607,0.0,168.57388499817438,0.0,1,0.08717065833334345,4.682607916615955e-05,881.6817919860114
multiprocessing,LogisticRegression,15,2,100,50,2,6.227206199953798,0.0,144.2061809988182,0.0,1,0.10378676999922996,4.0057272499671726e-05,898.0016243875003
joblib,LogisticRegression,15,1,100,100,1,6.381446100014728,0.0,140.85987600161997,0.0,1,0.10635743500024546,3.912774333378333e-05,898.8897063590958
multiprocessing,LogisticRegression,15,1,100,25,2,6.113017399969976,0.0,147.4245089989168,0.0,1,0.10188362333283293,4.095125249969911e-05,901.2085886924087
joblib,LogisticRegression,15,4,100,25,2,6.341008900024463,0.0,142.96915499908414,0.0,1,0.10568348166707439,3.971365416641226e-05,906.5686842781695
joblib,LogisticRegression,15,1,100,100,2,6.342183400003705,0.0,143.8599180000444,0.0,1,0.10570305666672843,3.996108833334566e-05,912.3859838657758
joblib,LogisticRegression,30,1,100,50,1,6.578970499977004,0.0,141.77223099802185,0.0,1,0.10964950833295006,3.938117527722829e-05,932.7153254519111
threading,LogisticRegression,15,1,100,100,2,6.510277799970936,0.0,143.82790199969352,0.0,1,0.1085046299995156,3.995219499991487e-05,936.3595974050002
serial,LogisticRegression,15,1,100,100,2,6.3961831999477,0.0,146.82681600242108,0.0,1,0.10660305333246166,4.078522666733919e-05,939.1312138164978
threading,LogisticRegression,15,1,100,100,1,6.590943899995182,0.0,142.54514900157167,0.0,1,0.1098490649999197,3.95958747226588e-05,939.5070802858131
serial,LogisticRegression,15,1,100,100,1,6.389497600030154,0.0,147.08235600323084,0.0,1,0.10649162666716923,4.085621000089746e-05,939.7823606894242
multiprocessing,LogisticRegression,15,4,100,25,2,6.248325900000054,0.0,150.51269300083715,0.0,1,0.10413876500000091,4.180908138912143e-05,940.4523579558877
joblib,LogisticRegression,30,1,100,50,2,6.42239649995463,0.0,147.4005300015291,0.0,1,0.10703994166591049,4.094459166709141e-05,946.6646479732779
threading,LogisticRegression,30,1,100,50,2,6.685130600002594,0.0,144.14189299879476,0.0,1,0.11141884333337657,4.0039414721887434e-05,963.6073796285425
serial,LogisticRegression,30,1,100,50,1,6.651065799989738,0.0,144.95384200082785,0.0,1,0.11085109666649563,4.0264956111341066e-05,964.097541108822
serial,LogisticRegression,30,1,100,50,2,6.617369699990377,0.0,147.93054800061878,0.0,1,0.11028949499983962,4.109181888906077e-05,978.9111260422668
multiprocessing,LogisticRegression,30,2,100,25,2,6.731791500002146,0.0,148.58175099764503,0.0,1,0.11219652500003577,4.1272708610456954e-05,1000.2213684213822
serial,LogisticRegression,30,1,100,25,0,8.270380500005558,0.0,122.8680250016892,0.0,1,0.13783967500009264,3.4130006944913666e-05,1016.1653180481658
multiprocessing,LogisticRegression,30,4,100,25,0,5.621542900044005,0.0,182.54378800190847,0.0,1,0.09369238166740008,5.0706607778307905e-05,1026.1777353892667
joblib,LogisticRegression,15,4,100,50,0,5.717384500021581,0.0,181.3191409975906,0.0,1,0.09528974166702635,5.036642805488628e-05,1036.6712462968521
threading,LogisticRegression,30,1,100,50,1,6.976528899976984,0.0,149.76362899771223,0.0,1,0.11627548166628306,4.160100805492006e-05,1044.8302858679704
joblib,LogisticRegression,15,2,100,50,0,6.499495600000955,0.0,162.67470000093098,0.0,1,0.10832492666668259,4.518741666692527e-05,1057.3034968875263
threading,LogisticRegression,30,2,100,25,2,6.841448599996511,0.0,154.78446799876977,0.0,1,0.11402414333327518,4.2995685555213825e-05,1058.9499818913882
joblib,LogisticRegression,15,4,100,50,2,6.738539199985098,0.0,157.63154900012566,0.0,1,0.1123089866664183,4.3786541388923794e-05,1062.2063720917185
joblib,LogisticRegression,15,2,100,100,2,6.833657200040761,0.0,155.8346790009324,0.0,1,0.11389428666734602,4.328741083359233e-05,1064.9207761707626
joblib,LogisticRegression,30,4,100,25,2,6.917402399994899,0.0,154.70546399972696,0.0,1,0.11529003999991498,4.2973739999924154e-05,1070.1599479640356
joblib,LogisticRegression,15,4,100,50,1,6.940357299987227,0.0,154.75005099822025,0.0,1,0.11567262166645378,4.2986125277283405e-05,1074.0206461188934
